94,Rite Aid,91,4.10 ,-97.60,70430,John T. Standley,Food &  Drug Stores,Food and Drug Stores,Camp Hill,PA,40.2398118,-76.9199742
95,ConocoPhillips,115,855.00,-,11400,Ryan M. Lance,Energy,"Mining, Crude-Oil Production",Houston,TX,29.7604267,-95.3698028
96,CHS,93,127.90 ,-69.90,11626,Jay D. Debertin,"Food, Beverages &  Tobacco",Food Production,Inver Grove Heights,MN,44.8480218,-93.0427153
97,3M,94,4858.00 ,-3.80,91536,Inge G. Thulin,Industrials,Miscellaneous,St Paul,MN,44.9537029,-93.0899578
98,Time Warner,95,5247.00 ,33.60,26000,John Stankey,Media,Entertainment,New York,NY,40.7127753,-74.0059728
99,General Dynamics,90,2912.00 ,-1.50,98600,Phebe N. Novakovic,Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,38.882334,-77.1710914
100,USAA,102,2421.90 ,36.10,32705,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),San Antonio,TX,29.4241219,-98.4936282
101,Capital One Financial,100,1982.00 ,-47.20,49300,Richard D. Fairbank,Financials,Commercial Banks,McLean,VA,38.9338676,-77.1772604
102,Deere,105,2159.10 ,41.70,60476,Samuel R. Allen,Industrials,Construction and Farm Machinery,Moline,IL,41.5067003,-90.5151342
103,INTL FCStone,189,6.40 ,-88.30,1607,Sean M. O'Connor,Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
104,Northwestern Mutual,97,1017.00 ,24.30,5437,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI,43.0389025,-87.9064736
105,Enterprise Products Partners,122,2799.30 ,11.40,7000,A. James Teague,Energy,Pipelines,Houston,TX,29.7604267,-95.3698028
106,Travelers Cos.,99,2056.00 ,-31.80,30800,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
107,Hewlett Packard Enterprise,59,344.00 ,-89.10,66000,Antonio Neri,Technology,"Computers, Office Equipment",Palo Alto,CA,37.4418834,-122.1430195
108,Philip Morris International,104,6035.00 ,-13.40,80600,Andr� Calantzopoulos,"Food, Beverages &  Tobacco",Tobacco,New York,NY,40.7127753,-74.0059728
109,Twenty-First Century Fox,101,2952.00 ,7.20,21700,James R. Murdoch,Media,Entertainment,New York,NY,40.7127753,-74.0059728
